"date","site","habitat","common_name","count"
"23-2-1999","A","pool","Bluegill",0
"23-2-1999","A","pool","Bluntnose Minnow",0
"23-2-1999","A","pool","Carmine Shiner",0
"23-2-1999","A","pool","Central Stoneroller",100
"23-2-1999","A","pool","Common Shiner",0
"23-2-1999","A","pool","Creek Chub",85
"23-2-1999","A","pool","Fathead Minnow",0
"23-2-1999","A","pool","Green Sunfish",0
"23-2-1999","A","pool","Johnny Darter",0
"23-2-1999","A","pool","Longear Sunfish",0
"23-2-1999","A","pool","Orangespotted Sunfish",0
"23-2-1999","A","pool","Orangethroated Darter",85
"23-2-1999","A","pool","Red Shiner",0
"23-2-1999","A","pool","Ringed Crayfish",0
"23-2-1999","A","pool","Sand Shiner",0
"23-2-1999","A","pool","Slender Madtom",0
"23-2-1999","A","pool","Southern Redbelly Dace",136
"23-2-1999","A","pool","Suckermouth Minnows",0
"23-2-1999","A","pool","Water Nymph Crayfish",0
"23-2-1999","A","pool","Western Mosquitofish",0
"23-2-1999","A","pool","White Sucker",3
"23-2-1999","A","riffle","Bluegill",0
"23-2-1999","A","riffle","Bluntnose Minnow",0
"23-2-1999","A","riffle","Carmine Shiner",0
"23-2-1999","A","riffle","Central Stoneroller",31
"23-2-1999","A","riffle","Common Shiner",0
"23-2-1999","A","riffle","Creek Chub",0
"23-2-1999","A","riffle","Fathead Minnow",0
"23-2-1999","A","riffle","Green Sunfish",0
"23-2-1999","A","riffle","Johnny Darter",0
"23-2-1999","A","riffle","Longear Sunfish",0
"23-2-1999","A","riffle","Orangespotted Sunfish",0
"23-2-1999","A","riffle","Orangethroated Darter",26
"23-2-1999","A","riffle","Red Shiner",0
"23-2-1999","A","riffle","Ringed Crayfish",0
"23-2-1999","A","riffle","Sand Shiner",0
"23-2-1999","A","riffle","Slender Madtom",0
"23-2-1999","A","riffle","Southern Redbelly Dace",1
"23-2-1999","A","riffle","Suckermouth Minnows",0
"23-2-1999","A","riffle","Water Nymph Crayfish",0
"23-2-1999","A","riffle","Western Mosquitofish",0
"23-2-1999","A","riffle","White Sucker",0
"25-2-1999","B","pool","Bluegill",0
"25-2-1999","B","pool","Bluntnose Minnow",0
"25-2-1999","B","pool","Carmine Shiner",0
"25-2-1999","B","pool","Central Stoneroller",40
"25-2-1999","B","pool","Common Shiner",0
"25-2-1999","B","pool","Creek Chub",3
"25-2-1999","B","pool","Fathead Minnow",0
"25-2-1999","B","pool","Green Sunfish",0
"25-2-1999","B","pool","Johnny Darter",0
"25-2-1999","B","pool","Longear Sunfish",0
"25-2-1999","B","pool","Orangespotted Sunfish",0
"25-2-1999","B","pool","Orangethroated Darter",18
"25-2-1999","B","pool","Red Shiner",0
"25-2-1999","B","pool","Ringed Crayfish",0
"25-2-1999","B","pool","Sand Shiner",0
"25-2-1999","B","pool","Slender Madtom",0
"25-2-1999","B","pool","Southern Redbelly Dace",4
"25-2-1999","B","pool","Suckermouth Minnows",0
"25-2-1999","B","pool","Water Nymph Crayfish",0
"25-2-1999","B","pool","Western Mosquitofish",0
"25-2-1999","B","pool","White Sucker",0
"25-2-1999","B","riffle","Bluegill",0
"25-2-1999","B","riffle","Bluntnose Minnow",0
"25-2-1999","B","riffle","Carmine Shiner",0
"25-2-1999","B","riffle","Central Stoneroller",12
"25-2-1999","B","riffle","Common Shiner",0
"25-2-1999","B","riffle","Creek Chub",0
"25-2-1999","B","riffle","Fathead Minnow",0
"25-2-1999","B","riffle","Green Sunfish",0
"25-2-1999","B","riffle","Johnny Darter",0
"25-2-1999","B","riffle","Longear Sunfish",0
"25-2-1999","B","riffle","Orangespotted Sunfish",0
"25-2-1999","B","riffle","Orangethroated Darter",7
"25-2-1999","B","riffle","Red Shiner",0
"25-2-1999","B","riffle","Ringed Crayfish",0
"25-2-1999","B","riffle","Sand Shiner",0
"25-2-1999","B","riffle","Slender Madtom",0
"25-2-1999","B","riffle","Southern Redbelly Dace",0
"25-2-1999","B","riffle","Suckermouth Minnows",0
"25-2-1999","B","riffle","Water Nymph Crayfish",0
"25-2-1999","B","riffle","Western Mosquitofish",0
"25-2-1999","B","riffle","White Sucker",0
"25-2-1999","C","pool","Bluegill",0
"25-2-1999","C","pool","Bluntnose Minnow",0
"25-2-1999","C","pool","Carmine Shiner",0
"25-2-1999","C","pool","Central Stoneroller",31
"25-2-1999","C","pool","Common Shiner",0
"25-2-1999","C","pool","Creek Chub",0
"25-2-1999","C","pool","Fathead Minnow",0
"25-2-1999","C","pool","Green Sunfish",0
"25-2-1999","C","pool","Johnny Darter",0
"25-2-1999","C","pool","Longear Sunfish",0
"25-2-1999","C","pool","Orangespotted Sunfish",0
"25-2-1999","C","pool","Orangethroated Darter",25
"25-2-1999","C","pool","Red Shiner",0
"25-2-1999","C","pool","Ringed Crayfish",0
"25-2-1999","C","pool","Sand Shiner",0
"25-2-1999","C","pool","Slender Madtom",0
"25-2-1999","C","pool","Southern Redbelly Dace",80
"25-2-1999","C","pool","Suckermouth Minnows",0
"25-2-1999","C","pool","Water Nymph Crayfish",0
"25-2-1999","C","pool","Western Mosquitofish",0
"25-2-1999","C","pool","White Sucker",0
"26-2-1999","D","pool","Bluegill",0
"26-2-1999","D","pool","Bluntnose Minnow",0
"26-2-1999","D","pool","Carmine Shiner",0
"26-2-1999","D","pool","Central Stoneroller",21
"26-2-1999","D","pool","Common Shiner",0
"26-2-1999","D","pool","Creek Chub",4
"26-2-1999","D","pool","Fathead Minnow",0
"26-2-1999","D","pool","Green Sunfish",0
"26-2-1999","D","pool","Johnny Darter",0
"26-2-1999","D","pool","Longear Sunfish",0
"26-2-1999","D","pool","Orangespotted Sunfish",0
"26-2-1999","D","pool","Orangethroated Darter",0
"26-2-1999","D","pool","Red Shiner",0
"26-2-1999","D","pool","Ringed Crayfish",0
"26-2-1999","D","pool","Sand Shiner",0
"26-2-1999","D","pool","Slender Madtom",0
"26-2-1999","D","pool","Southern Redbelly Dace",0
"26-2-1999","D","pool","Suckermouth Minnows",0
"26-2-1999","D","pool","Water Nymph Crayfish",0
"26-2-1999","D","pool","Western Mosquitofish",0
"26-2-1999","D","pool","White Sucker",0
"24-5-1999","C","pool","Bluegill",0
"24-5-1999","C","pool","Bluntnose Minnow",0
"24-5-1999","C","pool","Carmine Shiner",0
"24-5-1999","C","pool","Central Stoneroller",9
"24-5-1999","C","pool","Common Shiner",0
"24-5-1999","C","pool","Creek Chub",0
"24-5-1999","C","pool","Fathead Minnow",0
"24-5-1999","C","pool","Green Sunfish",0
"24-5-1999","C","pool","Johnny Darter",0
"24-5-1999","C","pool","Longear Sunfish",0
"24-5-1999","C","pool","Orangespotted Sunfish",0
"24-5-1999","C","pool","Orangethroated Darter",8
"24-5-1999","C","pool","Red Shiner",0
"24-5-1999","C","pool","Ringed Crayfish",0
"24-5-1999","C","pool","Sand Shiner",0
"24-5-1999","C","pool","Slender Madtom",0
"24-5-1999","C","pool","Southern Redbelly Dace",13
"24-5-1999","C","pool","Suckermouth Minnows",0
"24-5-1999","C","pool","Water Nymph Crayfish",0
"24-5-1999","C","pool","Western Mosquitofish",0
"24-5-1999","C","pool","White Sucker",0
"24-5-1999","D","pool","Bluegill",0
"24-5-1999","D","pool","Bluntnose Minnow",0
"24-5-1999","D","pool","Carmine Shiner",0
"24-5-1999","D","pool","Central Stoneroller",4
"24-5-1999","D","pool","Common Shiner",0
"24-5-1999","D","pool","Creek Chub",0
"24-5-1999","D","pool","Fathead Minnow",0
"24-5-1999","D","pool","Green Sunfish",0
"24-5-1999","D","pool","Johnny Darter",0
"24-5-1999","D","pool","Longear Sunfish",0
"24-5-1999","D","pool","Orangespotted Sunfish",0
"24-5-1999","D","pool","Orangethroated Darter",0
"24-5-1999","D","pool","Red Shiner",0
"24-5-1999","D","pool","Ringed Crayfish",0
"24-5-1999","D","pool","Sand Shiner",0
"24-5-1999","D","pool","Slender Madtom",0
"24-5-1999","D","pool","Southern Redbelly Dace",0
"24-5-1999","D","pool","Suckermouth Minnows",0
"24-5-1999","D","pool","Water Nymph Crayfish",0
"24-5-1999","D","pool","Western Mosquitofish",0
"24-5-1999","D","pool","White Sucker",0
"25-5-1999","B","pool","Bluegill",0
"25-5-1999","B","pool","Bluntnose Minnow",0
"25-5-1999","B","pool","Carmine Shiner",0
"25-5-1999","B","pool","Central Stoneroller",69
"25-5-1999","B","pool","Common Shiner",0
"25-5-1999","B","pool","Creek Chub",0
"25-5-1999","B","pool","Fathead Minnow",0
"25-5-1999","B","pool","Green Sunfish",0
