"common_name","scientific_name"
"Central Stoneroller","Campostoma anamolum"
"White Sucker","Catostomus commersoni"
"Red Shiner","Cyprinella lutrensis"
"Johnny Darter","Etheostoma nigrum"
"Orangethroated Darter","Etheostoma spectabile"
"Western Mosquitofish","Gambusia affinis"
"Green Sunfish","Lepomis cyanellus"
"Orangespotted Sunfish","Lepomis humilis"
"Bluegill","Lepomis macrochirus"
"Longear Sunfish","Lepomis megalotis"
"Common Shiner","Luxilus cornutus"
"Carmine Shiner","Notropis percobromus"
"Sand Shiner","Notropis stramineus"
"Slender Madtom","Noturus exilis"
"Water Nymph Crayfish","Orconectes nais"
"Ringed Crayfish","Orconectes neglectus"
"Suckermouth Minnows","Phenocobius mirabilis"
"Southern Redbelly Dace","Phoxinus erythrogaster"
"Bluntnose Minnow","Pimephales notatus"
"Fathead Minnow","Pimephales promelas"
"Creek Chub","Semotilis atromaculatus"
