common_name	scientific_name
Cheetah	ACINONYX JUBATUS
Central Stoneroller	CAMPOSTOMA ANAMOLUM
White Sucker	CATOSTOMUS COMMERSONI
Red Shiner	CYPRINELLA LUTRENSIS
Hairy-Legged Vampire Bat	DIPHYLLA ECAUDATA
Johnny Darter	ETHEOSTOMA NIGRUM
Orangethroated Darter	ETHEOSTOMA SPECTABILE
Western Mosquitofish	GAMBUSIA AFFINIS
Green Sunfish	LEPOMIS CYANELLUS
Orangespotted Sunfish	LEPOMIS HUMILIS
Bluegill	LEPOMIS MACROCHIRUS
Longear Sunfish	LEPOMIS MEGALOTIS
Common Shiner	LUXILUS CORNUTUS
Carmine Shiner	NOTROPIS PERCOBROMUS
Sand Shiner	NOTROPIS STRAMINEUS
Slender Madtom	NOTURUS EXILIS
Water Nymph Crayfish	ORCONECTES NAIS
Ringed Crayfish	ORCONECTES NEGLECTUS
Suckermouth Minnows	PHENOCOBIUS MIRABILIS
Southern Redbelly Dace	PHOXINUS ERYTHROGASTER
Bluntnose Minnow	PIMEPHALES NOTATUS
Fathead Minnow	PIMEPHALES PROMELAS
Creek Chub	SEMOTILIS ATROMACULATUS
